entrez	symbol	CMPO
10345	TRDN	CMPO:0000318
10351	ABCA8	CMPO:0000318
10362	HMG20B	CMPO:0000030
10365	KLF2	CMPO:0000346
10367	MICU1	CMPO:0000182
10368	CACNG3	CMPO:0000307
10368	CACNG3	CMPO:0000348
10368	CACNG3	CMPO:0000345
10368	CACNG3	CMPO:0000157
10376	TUBA1B	CMPO:0000307
10376	TUBA1B	CMPO:0000348
10376	TUBA1B	CMPO:0000213
10376	TUBA1B	CMPO:0000326
10376	TUBA1B	CMPO:0000157
10380	BPNT1	CMPO:0000030
10382	TUBB4A	CMPO:0000345
10382	TUBB4A	CMPO:0000318
10382	TUBB4A	CMPO:0000237
10382	TUBB4A	CMPO:0000083
10383	TUBB4B	CMPO:0000344
10383	TUBB4B	CMPO:0000030
10383	TUBB4B	CMPO:0000156
10383	TUBB4B	CMPO:0000157
10383	TUBB4B	CMPO:0000202
10383	TUBB4B	CMPO:0000213
10383	TUBB4B	CMPO:0000307
10390	CEPT1	CMPO:0000345
10390	CEPT1	CMPO:0000030
10391	CORO2B	CMPO:0000345
103910	MYL12B	CMPO:0000318
10392	NOD1	CMPO:0000157
10392	NOD1	CMPO:0000213
10392	NOD1	CMPO:0000318
10392	NOD1	CMPO:0000326
10393	ANAPC10	CMPO:0000213
10393	ANAPC10	CMPO:0000326
10393	ANAPC10	CMPO:0000157
10393	ANAPC10	CMPO:0000318
10394	PRG3	CMPO:0000318
10394	PRG3	CMPO:0000319
10395	DLC1	CMPO:0000318
10396	ATP8A1	CMPO:0000140
10397	NDRG1	CMPO:0000182
10397	NDRG1	CMPO:0000346
104	ADARB1	CMPO:0000345
104	ADARB1	CMPO:0000157
10400	PEMT	CMPO:0000318
10403	NDC80	CMPO:0000182
10404	CPQ	CMPO:0000345
10404	CPQ	CMPO:0000346
10406	WFDC2	CMPO:0000241
10413	YAP1	CMPO:0000346
10419	PRMT5	CMPO:0000213
10419	PRMT5	CMPO:0000157
10419	PRMT5	CMPO:0000326
10420	TESK2	CMPO:0000345
10420	TESK2	CMPO:0000071
10420	TESK2	CMPO:0000361
10420	TESK2	CMPO:0000077
10425	ARIH2	CMPO:0000030
10425	ARIH2	CMPO:0000318
10426	TUBGCP3	CMPO:0000182
10427	SEC24B	CMPO:0000213
10436	EMG1	CMPO:0000077
1044	CDX1	CMPO:0000118
1044	CDX1	CMPO:0000318
10444	ZER1	CMPO:0000128
10446	LRRN2	CMPO:0000345
10449	ACAA2	CMPO:0000318
10449	ACAA2	CMPO:0000319
10449	ACAA2	CMPO:0000030
1045	CDX2	CMPO:0000182
10450	PPIE	CMPO:0000319
10450	PPIE	CMPO:0000213
10450	PPIE	CMPO:0000318
10457	GPNMB	CMPO:0000318
10457	GPNMB	CMPO:0000319
10468	FST	CMPO:0000319
10468	FST	CMPO:0000318
10472	ZBTB18	CMPO:0000213
10478	SLC25A17	CMPO:0000182
10484	SEC23A	CMPO:0000307
10484	SEC23A	CMPO:0000236
10484	SEC23A	CMPO:0000326
10484	SEC23A	CMPO:0000213
10484	SEC23A	CMPO:0000157
10484	SEC23A	CMPO:0000348
10486	CAP2	CMPO:0000362
10494	STK25	CMPO:0000241
10495	ENOX2	CMPO:0000326
10495	ENOX2	CMPO:0000157
10495	ENOX2	CMPO:0000319
10495	ENOX2	CMPO:0000105
10495	ENOX2	CMPO:0000345
10495	ENOX2	CMPO:0000318
10497	UNC13B	CMPO:0000318
10498	CARM1	CMPO:0000182
10499	NCOA2	CMPO:0000030
10499	NCOA2	CMPO:0000345
10505	SEMA4F	CMPO:0000319
10505	SEMA4F	CMPO:0000318
10507	SEMA4D	CMPO:0000318
10512	SEMA3C	CMPO:0000202
10512	SEMA3C	CMPO:0000030
10512	SEMA3C	CMPO:0000182
10516	FBLN5	CMPO:0000319
10516	FBLN5	CMPO:0000157
10516	FBLN5	CMPO:0000182
10520	NA	CMPO:0000182
10522	DEAF1	CMPO:0000318
10523	CHERP	CMPO:0000346
10523	CHERP	CMPO:0000182
10523	CHERP	CMPO:0000030
10523	CHERP	CMPO:0000345
10526	IPO8	CMPO:0000318
10526	IPO8	CMPO:0000319
1053	CEBPE	CMPO:0000030
10533	ATG7	CMPO:0000345
10533	ATG7	CMPO:0000030
10540	DCTN2	CMPO:0000182
10542	LAMTOR5	CMPO:0000318
10554	AGPAT1	CMPO:0000362
10554	AGPAT1	CMPO:0000361
10555	AGPAT2	CMPO:0000319
10558	SPTLC1	CMPO:0000030
10563	CXCL13	CMPO:0000319
10563	CXCL13	CMPO:0000318
10565	ARFGEF1	CMPO:0000182
10566	AKAP3	CMPO:0000319
10566	AKAP3	CMPO:0000318
10568	SLC34A2	CMPO:0000345
10569	SLU7	CMPO:0000326
10569	SLU7	CMPO:0000182
10569	SLU7	CMPO:0000348
10569	SLU7	CMPO:0000030
10569	SLU7	CMPO:0000305
10569	SLU7	CMPO:0000157
10569	SLU7	CMPO:0000156
10569	SLU7	CMPO:0000202
10570	DPYSL4	CMPO:0000318
10574	CCT7	CMPO:0000182
10575	CCT4	CMPO:0000182
