Entrez Gene Interactor A,Entrez Gene Interactor B
7329,5903
5356,988
5716,9046
9861,5717
8428,5518
9861,5709
5716,5709
5531,261726
5716,5702
11331,1499
9861,5702
2222,8607
8661,3646
5500,4659
1974,8667
5704,5707
1973,27250
29763,5837
396,387
815,816
5704,5716
5062,28964
9040,8883
8428,11235
8533,5264
9051,6147
1019,11140
8661,8667
9861,5705
22933,11331
396,5879
5716,5713
64834,5716
8428,10494
396,389
6628,3795
23612,9688
1019,1029
8661,8665
1974,26986
5356,10286
7428,8576
1973,8661
2167,26578
9475,8576
815,808
396,998
7534,9101
6446,11140
8428,5516
9861,5714
9051,6161
80279,51569
11345,23192
5531,9989
5716,9861
6446,4057
6628,1778
1974,1982
23612,23165
26262,51495
9051,8607
5564,7430
8607,2222
958,811
7428,5198
7534,1676
9051,6144
1974,1977
80279,51506
11284,64434
26517,26521
9861,5713
9051,6160
10755,9688
382,1725
8560,5837
10298,998
5704,5702
3965,6510
7428,5689
10783,10128
11284,7518
958,6446
1967,9601
1019,1031
1999,23193
3611,55215
396,1967
5704,5717
7329,7341
8837,23450
8453,26517
8560,6566
5878,25777
578,23524
9051,6165
10783,9126
23012,55233
7428,389
10783,4176
29763,6147
10856,5352
11345,10128
26517,6119
11334,151246
2131,26578
5704,9532
10856,8607
9051,6142
7534,10298
3692,23560
8526,10726
23612,8604
578,7417
2778,6624
5531,5518
7534,9414
11331,23165
10856,6205
10285,80279
958,5985
7329,10054
3354,5702
23612,10128
10755,4176
8575,10642
7384,6636
382,8761
9861,5704
11284,9688
56950,11140
7428,6624
54861,8576
9861,5683
6628,9343
958,23071
7428,3376
958,5437
1019,9126
2932,6607
57111,1175
7428,5691
7428,10125
2932,10642
11284,8604
10285,2222
10295,593
991,51067
10783,6510
5531,5516
9500,23165
9500,51806
10285,10946
382,3692
396,10642
3354,5704
9051,6159
8767,11331
3795,80279
2932,6625
10783,9688
8526,83540
5531,151987
8453,5209
8780,808
7534,9221
1861,1778
5564,47
7428,9060
1999,811
5704,5713
1973,1977
11331,9688
8178,22933
4968,6636
56950,10642
55909,2079
5564,5565
8780,5689
7534,80153
8767,6208
3611,10642
3611,22820
6446,7415
8526,5160
11345,7430
9500,10128
10783,51495
578,1676
1974,546
8575,5635
7428,7178
578,10097
3692,10580
2778,8607
7428,6119
1967,3191
1974,55697
9500,9126
5500,55161
11331,864
8428,1655
1999,3716
3692,4942
7428,9735
23612,9183
8837,9046
10783,55215
9500,55215
8428,3189
3611,5635
9500,3646
9500,6576
5723,5635
2778,6472
11345,7416
7428,1476
6446,3376
9500,22820
9474,3615
1019,51035
7428,6203
1019,8243
10783,55795
9500,3376
7428,3615
9500,10558
23612,9343
7534,6160
11331,22820
11331,3959
7428,25978
10285,10262
1019,4067
2932,47
3611,9276
9500,3315
5564,23020
7534,3191
8780,5704
3611,2079
10783,11140
7534,8761
1974,6235
10783,10856
1974,7170
3611,3315
10285,8607
259173,5868
4215,11140
4215,3308
4215,2011
4215,84231
4790,9276
4790,5970
4790,4790
396,220988
1741,815
1741,301
1741,8453
1741,116138
2932,23451
80025,7416
9051,6173
5997,3646
10285,23451
8428,220988
8428,1832
7050,8576
7534,23451
4297,9070
4297,9070
9070,9070
4297,3054
4297,3054
3054,29915
4297,29915
4297,29915
9070,4221
3054,4221
29915,4221
4297,4221
4297,4221
9070,4297
3054,4297
29915,4297
4221,4297
9070,3054
9070,29915
1029,1019
2176,2178
659,2642
578,578
4170,578
4170,578
10542,23054
23054,3725
23054,4790
23054,5970
23054,6722
23054,5914
23054,7068
23054,1387
23054,1387
23054,5914
23054,5914
8243,9126
23054,1387
23054,1387
580,7321
5584,572
598,572
572,598
4170,578
4170,578
598,578
580,5970
5777,613
613,5777
5921,1796
2242,613
613,2242
5663,1499
6256,1499
5366,4170
572,598
25,5777
699,3065
699,3065
701,3065
701,3065
9184,3065
9184,3065
991,3065
991,3065
999,3065
999,3065
8379,3065
8379,3065
2188,2175
2188,2176
2188,2178
613,2071
999,1499
4790,4790
4790,4790
4790,4790
1499,2932
3065,23028
3065,10362
10362,3065
10362,3065
10362,23028
10362,23028
23028,10362
4170,578
23054,7376
23054,7376
659,7046
659,91
659,90
659,90
90,659
90,659
613,2885
1499,999
1499,999
613,25
999,1499
999,7414
1499,7414
7430,8795
843,8795
387,8795
396,8795
7132,8795
387,7430
396,7430
7430,843
387,843
396,843
396,387
7430,7132
843,7132
387,7132
396,7132
598,572
25,613
613,9846
2885,9846
2176,2950
4092,657
4092,7046
991,4085
9070,8290
999,1499
10362,24137
999,1499
4085,8379
25,25
23054,6256
23054,6256
1869,23054
9656,7486
5932,5932
5932,5932
23054,6256
26747,904
26747,904
904,1025
26747,1025
5901,7514
991,4085
5371,1616
598,596
598,578
598,8739
9564,25
598,7416
4170,7416
999,10672
2176,2175
2176,2175
1111,331
991,4085
657,650
999,999
999,999
598,578
598,578
23054,6256
23054,6256
1499,1387
867,2885
580,7322
545,25
545,545
545,1111
5591,1111
545,1877
5591,1877
5591,5932
545,6117
545,7486
5591,7486
613,2885
613,2885
1499,51176
999,2768
659,657
659,658
650,659
655,659
657,659
658,659
2175,207
2175,226
996,10393
996,51529
996,29945
996,51433
996,8881
996,8697
1869,23054
1869,23054
580,580
2175,10915
2176,10915
8874,867
2175,983
2176,983
4085,991
991,996
613,3815
6477,5932
6477,5932
6478,5932
1003,1499
999,1499
999,1499
2064,1499
2064,1499
5792,1499
5663,1499
4092,1499
4092,1499
2175,1616
1111,5591
6464,1796
3635,1796
1796,9046
5921,9046
6464,9046
3635,9046
11073,1869
2175,9388
1499,2064
1499,2064
613,2071
2175,2175
2175,2175
2176,2175
2188,2175
2072,2175
2175,2176
2175,2176
2175,2176
2175,2176
2175,2176
2178,2176
2178,2176
2175,2178
2175,2188
2176,2188
657,2281
2175,2783
2175,7184
2176,7184
2176,2950
2175,3337
2176,4508
25,3716
4092,51176
991,4085
2175,973
2175,8569
2175,4599
2175,10135
8031,8850
2175,55120
613,5294
2175,26121
2175,5686
2176,3550
2175,6117
2175,6141
2176,6141
2175,6446
1796,6464
3635,6464
1796,3635
9046,3635
6464,3635
5932,6477
2175,6950
2175,7203
2960,6882
2960,6882
3065,7050
1869,11073
2175,7156
2175,7178
23054,7068
26994,7316
580,7321
580,7321
580,7321
580,7337
3689,5329
2175,2072
26994,59348
23054,958
4790,8517
4215,5607
8517,11140
8517,55054
5594,4751
5594,4751
5371,4087
10262,657
10193,9101
10193,9101
23139,7186
3065,1655
1655,3065
5371,5600
5600,5371
55143,9212
3688,3675
50855,1894
1894,50855
50855,1894
1759,29993
55143,3619
55143,9212
9212,9212
9212,3619
55143,3619
9212,55143
596,6647
6647,596
596,6647
6647,596
2071,2967
5579,25780
5580,25780
5581,25780
5580,25780
25780,5580
4176,545
545,4171
5371,4602
5371,4602
5594,10174
10174,5594
1173,30846
10053,30846
9441,9968
9441,1024
9441,9442
9441,29079
9441,10001
9441,112950
9441,9477
9441,90390
9441,5439
9441,5431
9441,5432
9441,5434
9441,5435
9441,5436
9441,5437
9441,5438
9441,5441
9441,112950
9441,9968
9441,1024
8900,2874
8900,2874
2874,8900
1789,10051
1789,10592
1789,24137
1789,3065
64151,1789
1789,64151
1789,24137
1789,64151
1789,10592
201176,5879
201176,998
5581,2571
81929,57122
81929,79902
81929,55746
57122,55746
57122,79902
4087,10393
10393,4087
1387,5970
7137,7134
1213,27131
10580,867
867,10580
9935,9935
54476,11065
54476,9246
58484,58484
58484,10392
834,58484
26258,23557
26258,84062
26258,23557
84062,26258
84062,23557
26258,26258
26258,84062
26258,55330
55330,26258
55330,23557
23557,84062
54386,142
10940,10940
6464,9261
5594,9261
9261,6464
51433,26986
51433,26986
51433,996
9368,9368
5578,476
5594,476
5595,476
29950,1019
1029,1019
29950,1029
148022,8737
8737,148022
7137,7134
10142,9322
9322,10142
3265,5900
3265,5863
53407,9183
53407,60561
53407,23256
53407,9183
53407,60561
60561,9183
